analysis_key,question_text,target_question,item,company_size_class,answer,n,total,pct,denom_type
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,In unserem Unternehmen ist die Kennzahlenstruktur (Kaskade) für lineare Produktionsprozesse klar definiert und mit den strategischen Zielen verknüpft.,KMU,Ja,11,21,52.38095238095239,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,In unserem Unternehmen ist die Kennzahlenstruktur (Kaskade) für lineare Produktionsprozesse klar definiert und mit den strategischen Zielen verknüpft.,KMU,Nein,10,21,47.61904761904761,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,In unserem Unternehmen ist die Kennzahlenstruktur (Kaskade) für lineare Produktionsprozesse klar definiert und mit den strategischen Zielen verknüpft.,GU,Ja,22,39,56.41025641025641,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,In unserem Unternehmen ist die Kennzahlenstruktur (Kaskade) für lineare Produktionsprozesse klar definiert und mit den strategischen Zielen verknüpft.,GU,Nein,17,39,43.58974358974359,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Für zirkuläre Prozesse (z.B. Rückführung, Aufbereitung, Remanufacturing) existieren vergleichbare Kennzahlensysteme.",KMU,Ja,5,21,23.809523809523807,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Für zirkuläre Prozesse (z.B. Rückführung, Aufbereitung, Remanufacturing) existieren vergleichbare Kennzahlensysteme.",KMU,Nein,16,21,76.19047619047619,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Für zirkuläre Prozesse (z.B. Rückführung, Aufbereitung, Remanufacturing) existieren vergleichbare Kennzahlensysteme.",GU,Ja,6,35,17.142857142857142,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Für zirkuläre Prozesse (z.B. Rückführung, Aufbereitung, Remanufacturing) existieren vergleichbare Kennzahlensysteme.",GU,Nein,29,35,82.85714285714286,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Definition geeigneter Kennzahlen für Kreislaufwirtschaftsprozesse ist aufgrund fehlender Daten oder unklarer Verantwortlichkeiten erschwert.,KMU,Ja,9,15,60.0,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Definition geeigneter Kennzahlen für Kreislaufwirtschaftsprozesse ist aufgrund fehlender Daten oder unklarer Verantwortlichkeiten erschwert.,KMU,Nein,6,15,40.0,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Definition geeigneter Kennzahlen für Kreislaufwirtschaftsprozesse ist aufgrund fehlender Daten oder unklarer Verantwortlichkeiten erschwert.,GU,Ja,25,35,71.42857142857143,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Definition geeigneter Kennzahlen für Kreislaufwirtschaftsprozesse ist aufgrund fehlender Daten oder unklarer Verantwortlichkeiten erschwert.,GU,Nein,10,35,28.57142857142857,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"In unserem Unternehmen bestehen Potenziale, KI - gestützte Systeme zur Unterstützung der Kennzahlendefinition einzusetzen.",KMU,Ja,10,18,55.55555555555556,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"In unserem Unternehmen bestehen Potenziale, KI - gestützte Systeme zur Unterstützung der Kennzahlendefinition einzusetzen.",KMU,Nein,8,18,44.44444444444444,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"In unserem Unternehmen bestehen Potenziale, KI - gestützte Systeme zur Unterstützung der Kennzahlendefinition einzusetzen.",GU,Ja,34,38,89.47368421052632,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"In unserem Unternehmen bestehen Potenziale, KI - gestützte Systeme zur Unterstützung der Kennzahlendefinition einzusetzen.",GU,Nein,4,38,10.526315789473683,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Integration von Zirkularitätskennzahlen in Management - Cockpits oder Dashboards würde Entscheidungen stärker an Nachhaltigkeitszielen unseres Unternehmens ausrichten.,KMU,Ja,7,15,46.666666666666664,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Integration von Zirkularitätskennzahlen in Management - Cockpits oder Dashboards würde Entscheidungen stärker an Nachhaltigkeitszielen unseres Unternehmens ausrichten.,KMU,Nein,8,15,53.333333333333336,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Integration von Zirkularitätskennzahlen in Management - Cockpits oder Dashboards würde Entscheidungen stärker an Nachhaltigkeitszielen unseres Unternehmens ausrichten.,GU,Ja,25,38,65.78947368421053,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Die Integration von Zirkularitätskennzahlen in Management - Cockpits oder Dashboards würde Entscheidungen stärker an Nachhaltigkeitszielen unseres Unternehmens ausrichten.,GU,Nein,13,38,34.21052631578947,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Der Einsatz von datengetriebenen Methoden (z. B. Predictive Analytics, Sprachmodelle) wird in unserem Unternehmen als Chance gesehen, regelmäßige das Kennzahlensystem anzupassen und weiterzuentwickeln.",KMU,Ja,6,17,35.294117647058826,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Der Einsatz von datengetriebenen Methoden (z. B. Predictive Analytics, Sprachmodelle) wird in unserem Unternehmen als Chance gesehen, regelmäßige das Kennzahlensystem anzupassen und weiterzuentwickeln.",KMU,Nein,11,17,64.70588235294117,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Der Einsatz von datengetriebenen Methoden (z. B. Predictive Analytics, Sprachmodelle) wird in unserem Unternehmen als Chance gesehen, regelmäßige das Kennzahlensystem anzupassen und weiterzuentwickeln.",GU,Ja,16,29,55.172413793103445,item_valid_total
zustimmung,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,Stimmen Sie nachfolgenden Aussagen zur Digitalisierung und Quantifizierung zirkulärer Wertschöpfungsprozesse zu?,"Der Einsatz von datengetriebenen Methoden (z. B. Predictive Analytics, Sprachmodelle) wird in unserem Unternehmen als Chance gesehen, regelmäßige das Kennzahlensystem anzupassen und weiterzuentwickeln.",GU,Nein,13,29,44.827586206896555,item_valid_total
